Tabela,Data,Kurs średni,Zmiana
237/A/NBP/2020,2020-12-04,3.6765,-0.58
236/A/NBP/2020,2020-12-03,3.6981,-0.15
235/A/NBP/2020,2020-12-02,3.7038,-0.88
234/A/NBP/2020,2020-12-01,3.7367,0.01
233/A/NBP/2020,2020-11-30,3.7364,-0.66
232/A/NBP/2020,2020-11-27,3.7614,0.07
231/A/NBP/2020,2020-11-26,3.7586,0.08
230/A/NBP/2020,2020-11-25,3.7556,-0.18
229/A/NBP/2020,2020-11-24,3.7625,0.02
228/A/NBP/2020,2020-11-23,3.7616,-0.16
227/A/NBP/2020,2020-11-20,3.7677,-0.51
226/A/NBP/2020,2020-11-19,3.7872,0.67
225/A/NBP/2020,2020-11-18,3.7621,-0.68
224/A/NBP/2020,2020-11-17,3.7877,0.25
223/A/NBP/2020,2020-11-16,3.7782,-0.61
222/A/NBP/2020,2020-11-13,3.8015,0.05
221/A/NBP/2020,2020-11-12,3.7995,-0.45
220/A/NBP/2020,2020-11-10,3.8168,1.01
219/A/NBP/2020,2020-11-09,3.7787,-1.07
218/A/NBP/2020,2020-11-06,3.8194,-0.41
217/A/NBP/2020,2020-11-05,3.8353,-1.65
216/A/NBP/2020,2020-11-04,3.8996,-0.19
215/A/NBP/2020,2020-11-03,3.9069,-1.23
214/A/NBP/2020,2020-11-02,3.9557,-0.02
213/A/NBP/2020,2020-10-30,3.9563,0.15
212/A/NBP/2020,2020-10-29,3.9505,0.49
211/A/NBP/2020,2020-10-28,3.9313,1.17
210/A/NBP/2020,2020-10-27,3.886,0.26
209/A/NBP/2020,2020-10-26,3.8759,0.24
208/A/NBP/2020,2020-10-23,3.8665,-0.18
207/A/NBP/2020,2020-10-22,3.8734,0.07
206/A/NBP/2020,2020-10-21,3.8706,-0.57
205/A/NBP/2020,2020-10-20,3.8926,0.43
204/A/NBP/2020,2020-10-19,3.8761,-0.55
203/A/NBP/2020,2020-10-16,3.8976,0.19
202/A/NBP/2020,2020-10-15,3.8904,1.57
201/A/NBP/2020,2020-10-14,3.8301,0.97
200/A/NBP/2020,2020-10-13,3.7932,0.01
199/A/NBP/2020,2020-10-12,3.7927,0.04
198/A/NBP/2020,2020-10-09,3.7913,-0.69
197/A/NBP/2020,2020-10-08,3.8175,0.13
196/A/NBP/2020,2020-10-07,3.8126,-0.14
195/A/NBP/2020,2020-10-06,3.818,-0.19
194/A/NBP/2020,2020-10-05,3.8252,-0.3
193/A/NBP/2020,2020-10-02,3.8366,-0.38
192/A/NBP/2020,2020-10-01,3.8513,-0.38
191/A/NBP/2020,2020-09-30,3.8658,-1.45
190/A/NBP/2020,2020-09-29,3.9228,0.37
189/A/NBP/2020,2020-09-28,3.9083,0.17
188/A/NBP/2020,2020-09-25,3.9016,0.47
187/A/NBP/2020,2020-09-24,3.8833,1.13
186/A/NBP/2020,2020-09-23,3.8399,0.1
185/A/NBP/2020,2020-09-22,3.8359,1.04
184/A/NBP/2020,2020-09-21,3.7963,1.01
183/A/NBP/2020,2020-09-18,3.7585,-0.34
182/A/NBP/2020,2020-09-17,3.7713,0.5
181/A/NBP/2020,2020-09-16,3.7526,0.22
180/A/NBP/2020,2020-09-15,3.7445,-0.21
179/A/NBP/2020,2020-09-14,3.7522,-0.03
178/A/NBP/2020,2020-09-11,3.7534,-0.2
177/A/NBP/2020,2020-09-10,3.761,-0.69
176/A/NBP/2020,2020-09-09,3.7871,0.58
175/A/NBP/2020,2020-09-08,3.7652,-0.04
174/A/NBP/2020,2020-09-07,3.7666,0.35
173/A/NBP/2020,2020-09-04,3.7533,0.52
172/A/NBP/2020,2020-09-03,3.7337,0.39
171/A/NBP/2020,2020-09-02,3.7191,1.32
170/A/NBP/2020,2020-09-01,3.6707,-0.59
169/A/NBP/2020,2020-08-31,3.6924,-0.16
